open,high,low,close,volume
80.59,81.48,79.53,80.46,19261400
79.98,80.28,78.94,79.0,20195500
79.23,80.1,78.77,80.07,16354700
79.74,80.1,79.48,79.5,13680300
79.22,79.52,78.77,79.02,15220400
79.41,80.37,79.01,80.36,17239900
80.58,82.25,80.55,81.83,25204000
81.79,82.21,81.5,81.79,17972900
81.48,81.62,80.65,81.25,18857800
80.75,81.13,79.71,79.73,13862700
80.09,80.66,79.39,79.57,20833300
79.85,80.01,78.84,79.66,16171500
79.08,79.25,78.1,78.11,19026700
78.3,79.11,78.07,78.86,16721900
78.76,79.71,78.7,79.67,13925900
79.9,80.26,79.7,80.15,13663700
79.53,80.8,79.46,80.71,20143400
80.51,80.72,79.85,79.92,14867900
80.46,80.48,79.88,80.4,14037700
80.32,80.46,80.16,80.25,5728800
80.19,81.28,80.19,80.69,10304800
80.65,81.19,80.61,81.18,9407300
81.34,81.66,81.08,81.13,10593800
81.24,81.41,79.9,79.95,14619500
80.51,80.96,79.6,80.81,18651900
80.89,81.8,80.81,81.72,15743000
81.95,82.52,81.52,82.27,20140700
82.32,82.53,81.53,81.69,13106500
81.69,81.88,81.11,81.5,12683700
81.61,82.38,80.67,80.83,16610300
80.92,81.38,80.65,81.19,12823400
81.28,81.33,80.23,80.39,13708400
80.19,80.32,79.71,79.89,12301100
80.12,80.71,79.67,80.54,20219900
79.95,80.02,78.82,78.91,17067000
79.57,79.9,79.32,79.5,17283400
79.04,79.63,78.81,79.14,17028000
79.56,79.69,78.35,78.6,11689300
78.78,79.42,78.35,79.2,12438900
79.48,79.91,79.26,79.44,12142800
79.12,79.86,79.06,79.42,12810700
79.67,79.87,78.98,79.64,10589200
79.63,79.83,76.97,77.13,27720800
77.21,79.31,75.82,78.25,34711800
78.44,79.25,78.07,79.16,19909200
79.1,79.25,78.46,78.79,15838500
78.5,78.5,76.55,76.83,24243400
76.52,77.28,75.91,76.36,33614000
76.69,76.76,75.58,76.03,29486000
76.04,76.84,75.54,75.55,23445400
75.98,77.46,75.75,77.0,19277800
76.97,78.09,76.81,77.95,18792400
77.61,78.13,76.96,77.7,13942500
77.97,78.71,77.88,78.53,16781100
78.69,79.02,78.05,78.38,20453800
78.44,78.5,77.43,77.56,18366800
77.04,77.14,75.97,76.07,15988100
76.27,77.35,75.41,77.35,29242800
76.89,77.38,75.72,75.75,26288600
75.78,76.9,75.45,76.69,26572900
76.76,78.2,76.73,77.95,17458700
78.06,78.36,77.34,77.79,22346500
78.31,78.94,77.39,78.09,28597900
78.22,78.86,77.66,77.74,23755400
78.14,79.63,77.99,79.55,26273600
79.67,81.13,79.49,80.96,27184600
80.67,81.41,80.41,80.7,22718900
80.51,81.94,80.48,81.66,20143200
82.09,82.18,80.83,81.48,19330800
82.1,82.46,81.47,81.83,19930100
81.76,82.46,81.44,82.0,15621800
81.2,82.01,81.09,81.95,17153600
81.58,81.66,80.88,81.16,17175300
81.16,81.44,80.88,81.05,11168100
81.35,82.03,81.3,81.82,21220100
82.14,82.46,81.44,81.84,17548900
82.28,82.59,81.94,82.38,17912000
81.72,81.77,80.8,80.83,17114500
80.88,81.3,80.05,80.87,25846800
81.02,81.32,80.46,80.69,15235400
80.73,80.92,79.47,79.69,17499600
79.63,80.68,79.59,80.15,19947600
79.99,80.67,79.8,80.36,19020300
80.64,81.21,80.31,80.33,17532900
80.13,80.74,79.61,80.36,17711000
79.95,80.63,79.8,79.92,15669500
79.97,80.11,78.67,79.36,25658500
